false,true,true,false,false,true,true,true
long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
table,_start,_stop,_time,_value,_field,_measurement,id
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T01:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T02:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T03:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T04:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T05:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T06:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T07:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T08:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T09:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T10:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T11:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T12:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T13:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T14:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T15:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T16:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T17:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T18:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T19:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T20:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T21:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T22:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T23:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
2,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-06-T00:00:00Z,0,flow,METER,7d899e58-3c48-45d4-b0e9-f76482af1221
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T00:00:00Z,-14.59,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T01:00:00Z,-10.84,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T02:00:00Z,-7.92,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T03:00:00Z,-5.25,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T04:00:00Z,-1.05,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T05:00:00Z,7.15,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T06:00:00Z,12.08,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T07:00:00Z,20.65,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T08:00:00Z,35.01,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T09:00:00Z,44.4,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T10:00:00Z,95.08,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T11:00:00Z,97.69,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T12:00:00Z,93.97,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T13:00:00Z,90.32,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T14:00:00Z,89.75,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T15:00:00Z,90.06,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T16:00:00Z,91.91,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T17:00:00Z,99.05,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T18:00:00Z,109.17,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T19:00:00Z,120.5,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T20:00:00Z,126.89,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T21:00:00Z,121,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T22:00:00Z,65.11,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T23:00:00Z,37.71,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T00:00:00Z,35.5,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T01:00:00Z,32.84,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T02:00:00Z,30.01,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T03:00:00Z,27.44,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T04:00:00Z,25.69,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T05:00:00Z,25.52,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T06:00:00Z,27.58,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T07:00:00Z,33.87,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T08:00:00Z,42.78,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T09:00:00Z,94.94,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T10:00:00Z,97.58,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T11:00:00Z,96.83,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T12:00:00Z,93.79,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
